rank,song,artist,year,song_id,word,sentiment_afinn,sentiment_bing,sentiment_nrc
52,i touch myself,divinyls,1991,2469,adore,3,positive,joy
52,i touch myself,divinyls,1991,2469,adore,3,positive,positive
52,i touch myself,divinyls,1991,2469,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
83,i wanna love you,jade,1992,2591,adore,3,positive,anticipation
83,i wanna love you,jade,1992,2591,adore,3,positive,joy
83,i wanna love you,jade,1992,2591,adore,3,positive,positive
83,i wanna love you,jade,1992,2591,adore,3,positive,trust
28,two princes,spin doctors,1993,2635,adore,3,positive,anticipation
28,two princes,spin doctors,1993,2635,adore,3,positive,joy
28,two princes,spin doctors,1993,2635,adore,3,positive,positive
28,two princes,spin doctors,1993,2635,adore,3,positive,trust
28,two princes,spin doctors,1993,2635,adore,3,positive,anticipation
28,two princes,spin doctors,1993,2635,adore,3,positive,joy
28,two princes,spin doctors,1993,2635,adore,3,positive,positive
28,two princes,spin doctors,1993,2635,adore,3,positive,trust
17,you mean the world to me,toni braxton,1994,2719,adore,3,positive,anticipation
17,you mean the world to me,toni braxton,1994,2719,adore,3,positive,joy
17,you mean the world to me,toni braxton,1994,2719,adore,3,positive,positive
17,you mean the world to me,toni braxton,1994,2719,adore,3,positive,trust
32,honey,mariah carey,1997,3012,adore,3,positive,anticipation
32,honey,mariah carey,1997,3012,adore,3,positive,joy
32,honey,mariah carey,1997,3012,adore,3,positive,positive
32,honey,mariah carey,1997,3012,adore,3,positive,trust
32,honey,mariah carey,1997,3012,adore,3,positive,anticipation
32,honey,mariah carey,1997,3012,adore,3,positive,joy
32,honey,mariah carey,1997,3012,adore,3,positive,positive
32,honey,mariah carey,1997,3012,adore,3,positive,trust
32,honey,mariah carey,1997,3012,adore,3,positive,anticipation
32,honey,mariah carey,1997,3012,adore,3,positive,joy
32,honey,mariah carey,1997,3012,adore,3,positive,positive
32,honey,mariah carey,1997,3012,adore,3,positive,trust
32,honey,mariah carey,1997,3012,adore,3,positive,anticipation
32,honey,mariah carey,1997,3012,adore,3,positive,joy
32,honey,mariah carey,1997,3012,adore,3,positive,positive
32,honey,mariah carey,1997,3012,adore,3,positive,trust
32,honey,mariah carey,1997,3012,adore,3,positive,anticipation
32,honey,mariah carey,1997,3012,adore,3,positive,joy
32,honey,mariah carey,1997,3012,adore,3,positive,positive
32,honey,mariah carey,1997,3012,adore,3,positive,trust
31,what you want,mase featuring total,1998,3104,adore,3,positive,anticipation
31,what you want,mase featuring total,1998,3104,adore,3,positive,joy
31,what you want,mase featuring total,1998,3104,adore,3,positive,positive
31,what you want,mase featuring total,1998,3104,adore,3,positive,trust
95,satisfy you,puff daddy featuring r kelly,1999,3261,adore,3,positive,anticipation
95,satisfy you,puff daddy featuring r kelly,1999,3261,adore,3,positive,joy
95,satisfy you,puff daddy featuring r kelly,1999,3261,adore,3,positive,positive
95,satisfy you,puff daddy featuring r kelly,1999,3261,adore,3,positive,trust
94,just a friend,biz markie,1990,2413,adored,3,positive,NA
69,wildside,marky mark and the funky bunch,1992,2579,adored,3,positive,NA
96,i got id,pearl jam,1996,2979,advantage,2,positive,positive
66,c u when u get there,coolio featuring 40 thevz,1997,3044,advantage,2,positive,positive
54,iesha,another bad creation,1991,2471,adventure,2,NA,anticipation
54,iesha,another bad creation,1991,2471,adventure,2,NA,positive
91,take me there,blackstreet featuring m'ya mase and blinky blink,1999,3258,adventure,2,NA,anticipation
91,take me there,blackstreet featuring m'ya mase and blinky blink,1999,3258,adventure,2,NA,positive
32,honey,mariah carey,1997,3012,affected,-1,NA,NA
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,joy
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,positive
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,trust
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,joy
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,positive
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,trust
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,joy
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,positive
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,trust
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,joy
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,positive
27,cant live without your love and affection,nelson,1990,2349,affection,3,positive,trust
80,romeo,dino,1990,2401,affection,3,positive,joy
80,romeo,dino,1990,2401,affection,3,positive,positive
80,romeo,dino,1990,2401,affection,3,positive,trust
32,do anything,natural selection,1991,2450,affection,3,positive,joy
32,do anything,natural selection,1991,2450,affection,3,positive,positive
32,do anything,natural selection,1991,2450,affection,3,positive,trust
3,creep,tlc,1995,2801,affection,3,positive,joy
3,creep,tlc,1995,2801,affection,3,positive,positive
3,creep,tlc,1995,2801,affection,3,positive,trust
79,you used to love me,faith evans,1995,2874,affection,3,positive,joy
79,you used to love me,faith evans,1995,2874,affection,3,positive,positive
79,you used to love me,faith evans,1995,2874,affection,3,positive,trust
91,po pimp,do or die featuring twista,1996,2974,affection,3,positive,joy
91,po pimp,do or die featuring twista,1996,2974,affection,3,positive,positive
91,po pimp,do or die featuring twista,1996,2974,affection,3,positive,trust
42,never ever,all saints,1998,3115,affection,3,positive,joy
42,never ever,all saints,1998,3115,affection,3,positive,positive
42,never ever,all saints,1998,3115,affection,3,positive,trust
93,sock it 2 me,missy elliott featuring da brat,1998,3162,affection,3,positive,joy
93,sock it 2 me,missy elliott featuring da brat,1998,3162,affection,3,positive,positive
93,sock it 2 me,missy elliott featuring da brat,1998,3162,affection,3,positive,trust
61,doin it,ll cool j,1996,2947,affectionate,3,positive,NA
41,everything,jody watley,1990,2362,afraid,-2,negative,fear
41,everything,jody watley,1990,2362,afraid,-2,negative,negative
59,black cat,janet jackson,1990,2380,afraid,-2,negative,fear
59,black cat,janet jackson,1990,2380,afraid,-2,negative,negative
59,black cat,janet jackson,1990,2380,afraid,-2,negative,fear
59,black cat,janet jackson,1990,2380,afraid,-2,negative,negative
59,black cat,janet jackson,1990,2380,afraid,-2,negative,fear
59,black cat,janet jackson,1990,2380,afraid,-2,negative,negative
59,black cat,janet jackson,1990,2380,afraid,-2,negative,fear
59,black cat,janet jackson,1990,2380,afraid,-2,negative,negative
75,epic,faith no more,1990,2396,afraid,-2,negative,fear
75,epic,faith no more,1990,2396,afraid,-2,negative,negative
